Word,Count
data,482
the,470
and,336
governance,306
with,201
this,134
are,118
that,108
started,105
can,105
getting,104
but,103
not,101
for,100
information,96
more,91
quality,86
will,82
anthony,79
june,78
conference,78
diego,77
san,77
governancedata,77
have,75
people,63
they,62
business,57
from,48
need,47
may,47
how,45
our,45
when,45
you,43
organization,41
often,41
help,36
them,36
what,35
change,34
should,33
all,32
get,32
about,31
some,31
value,30
also,30
these,30
activities,29
their,29
than,29
important,28
many,27
most,27
like,26
folks,26
work,26
much,25
efforts,25
better,25
especially,25
there,24
other,24
make,24
its,24
even,23
organizations,22
into,22
being,22
time,22
who,21
things,21
way,21
out,21
has,20
your,20
management,19
frameworks,19
because,19
why,19
find,19
best,19
use,18
good,18
must,18
needs,17
only,17
through,17
start,17
leadership,17
authority,17
where,16
results,16
doing,16
part,16
just,16
too,16
dont,16
approach,16
going,15
possible,15
project,15
decisions,14
others,14
know,14
artifacts,14
then,14
impact,14
prioritization,14
roles,14
making,14
successful,13
easier,13
early,13
resources,13
over,13
which,13
understanding,13
provide,13
structure,13
difficult,13
those,12
success,12
charter,12
used,12
any,12
one,12
something,12
awareness,12
training,12
focus,12
opportunities,11
first,11
lot,11
process,11
necessary,11
before,11
anything,11
easy,11
thing,11
interest,11
skills,11
done,11
effective,11
organizational,11
without,11
executive,11
support,11
always,11
likely,10
helps,10
creating,10
actually,10
does,10
same,10
take,10
term,10
existing,10
enough,10
keep,10
right,10
direct,10
tend,10
cdo,10
measures,10
build,10
benefits,10
analysis,10
marketing,10
ability,10
transparency,10
clear,10
little,10
ways,10
functions,10
titles,10
effort,10
useful,10
well,10
specific,9
impacts,9
set,9
simple,9
less,9
establishing,9
planning,9
become,9
long,9
drive,9
fit,9
key,9
risk,9
while,9
directly,9
involved,9
been,9
projects,9
compliance,9
already,9
role,9
learn,9
objectives,9
initiatives,9
techniques,9
policies,9
coordination,9
complex,9
participants,9
influence,8
instead,8
team,8
create,8
would,8
owners,8
different,8
down,8
potential,8
costs,8
area,8
happen,8
everybody,8
lead,8
identifying,8
strategic,8
actual,8
scale,8
option,8
new,8
see,8
literacy,8
technology,8
matter,8
want,8
strategy,8
stakeholders,8
capabilities,8
teams,7
understand,7
try,7
initial,7
priorities,7
meeting,7
starting,7
great,7
steering,7
technical,7
situations,7
individual,7
cannot,7
resource,7
debt,7
areas,7
granularity,7
incentives,7
place,7
everything,7
becomes,7
really,7
building,7
issues,7
principles,7
challenges,7
decisionmaking,7
both,7
towards,7
think,7
multiple,7
improvements,7
made,7
processes,7
person,7
agile,7
responsibilities,7
tradeoffs,7
means,7
benefit,7
becoming,7
big,7
form,7
problems,7
challenge,6
chief,6
identify,6
datadriven,6
level,6
works,6
provides,6
actions,6
requires,6
come,6
ourselves,6
systems,6
once,6
simply,6
were,6
between,6
point,6
real,6
strong,6
consultant,6
participation,6
council,6
exists,6
political,6
longterm,6
weve,6
function,6
off,6
own,6
terms,6
education,6
common,6
short,6
themselves,6
investment,6
plans,6
tools,6
details,6
owner,6
visualizations,6
away,6
using,6
nothing,6
circumstances,6
measurements,6
far,6
lack,6
helpful,6
gets,6
small,6
naturally,6
usually,6
never,6
else,5
